Date time,Automatic Weather Station,Maximum Air Temperature Since Midnight(degree Celsius),Minimum Air Temperature Since Midnight(degree Celsius)
202409221840,Chek Lap Kok,31.6,25.4
202409221840,Cheung Chau,27.7,24.5
202409221840,Clear Water Bay,29.5,24.1
202409221840,Happy Valley,31.7,25.6
202409221840,HK Observatory,30.1,25.2
202409221840,HK Park,29.7,24.9
202409221840,Kai Tak Runway Park,31.9,25.3
202409221840,Kau Sai Chau,30.9,23.9
202409221840,King's Park,30.5,24.7
202409221840,Kowloon City,30.9,24.2
202409221840,Kwun Tong,31.0,24.4
202409221840,Lau Fau Shan,30.9,24.0
202409221840,Ngong Ping,N/A /
202409221840,Pak Tam Chung,31.0,24.1
202409221840,Peng Chau,31.4,25.0
202409221840,Sai Kung,30.5,24.9
202409221840,Sha Tin,30.5,25.2
202409221840,Sham Shui Po,31.4,24.8
202409221840,Shau Kei Wan,31.2,24.3
202409221840,Shek Kong,30.1,24.3
202409221840,Sheung Shui,30.6,24.4
202409221840,Stanley,30.5,24.6
202409221840,Ta Kwu Ling,30.8,24.3
202409221840,Tai Lung,30.6,24.1
202409221840,Tai Mei Tuk,29.5,23.8
202409221840,Tai Mo Shan,22.3,19.9
202409221840,Tai Po,30.4,25.0
202409221840,Tate's Cairn,26.4,21.1
202409221840,The Peak,28.6,22.9
202409221840,Tseung Kwan O,30.7,24.4
202409221840,Tsing Yi,31.0,25.3
202409221840,Tsuen Wan Ho Koon,29.3,24.1
202409221840,Tsuen Wan Shing Mun Valley,30.4,24.8
202409221840,Tuen Mun,30.0,24.6
202409221840,Waglan Island,28.6,25.0
202409221840,Wetland Park,30.2,24.3
202409221840,Wong Chuk Hang,30.8,25.2
202409221840,Wong Tai Sin,31.5,24.7
202409221840,Yuen Long Park,30.6,24.7
